Code,FLEET NO.,REG NO.,OLB NO.,EXPIRY DATE,NOTE
,1901,CA248115,507424/2,,
,1902,CA248708,504229/3,,
,1903,CA248894,506700/4,,
,1904,CA249641,503985/5,,
,1905,CA249741,503829/2,,
,1906,CA250086,507616/4,,-vehicle copy
,1907,CA250106,507587/4,,
,1908,CA250159,507514/4,,
,1909,CA250419,507657/4,,
,1910,CA250638,506716/4,,
,1911,CA461481,504209/3,,
,1912,CA461571,503874/3,,
,1913,CA461786 ,504152/4,,
,1914,CA461811,507732/2,,
,1915,CA462053,507614/4,,
,1916,CA462174,504029/5,,
,1917,CA462330,509770/2,,
,1918,CA462846,507471/2,,
,1919,CA463121,507742/3,,
,1920,CA463094,507434/2,,
,1921,CA406957,5074146/3,,
,1922,CA407491,507435/3,,
,1923,CA474141,507434/5,,
,1924,CA478226,507487/3,,
,1925,CA498183,503867/6,,
,1926,CA498976,503868/6,,
,1927,CA398539,503983/3,,
,1928,CA400132,507650/4,,
,1929,CA77804,1951729,31/07/2030,
,1930,CA995406,504982/5,,
,1931,CA927245,507411/4,,
,1932,CA5500208,504221/2,,
,1933,CA330822,507519/6,,
,1934,CA100110,505437/4,,
,1935,CA292805,503960/6,,
,1936,CA298158,1893639/0,,
,1937,CA571757,506049/4,,
,1938,CA580002,504165/5,,
,1939,CA591995,504032/6,,
,1940,CA602996,506056/5,,
,1941,CA40076,503886/3,,
,1942,CA86482,506432/5,,
,1943,CA12932,507575/7,,
,1944,CA406601,509779/3,,
,1945,CA12959,507719/5,,
,1946,CA12964,507630/5,,
,1947,CA13028,507511/5,,
,1948,CA13180,Scrapped,2018/09/05,
,1949,CA13538,506706/5,,
,1950,CA194744,504216/5,,
,2040,CAA248781,507422/7,,
,2041,CAA248773,507557/5,,
AG,2501,CA516164,507557/5,,Copy ?
AG,2502,CA529438,1794866/3,31/12/2028,
AG,2503,CA538004,506055/5,,
AG,2504,CA557813,1920670/2,28/02/2025,
AG,2505,CA571930,507544/5,,
AG,2506,CA577537,504168/3,,DUPLICATE TO SOLO
AG,2507,CA649800,507410/5,,
AG,2508,CA693585,506569/5,,
AG,2509,CA706443,504971/6,,
AG,2510,CA723932,505822/5,,
AG,2511,CA723967,507533/5,,
SG,2512,CA724066,REPLACEMENT IN PROGRESS,,
SG,2513,CA724079,507545/4,,
SG,2514,CA724078,REPLACEMENT IN PROGRESS,,
SG,2515,CA723904,505434/6,,
SG,2516,CA72392,507411/4,,
AG,2517,CA724058,507546/5,,
SG,2518,CA723995,504217/3,,
PH,2519,CA723992,508003/5,,
SG,2520,CA723982,1794859/3,30/09/2028,
PH,2521,CA724017,N/A,,PERMIT NOT IN FILE
PH,2522,CA724021,504007/5,,
PH,2523,CA724028,508580/5,,
PH,2524,CA724050,507660/5,,
PH,2525,CA724057,503937/5,,
SG,2600,CA382608,1864551/1,31/08/2028,
SG,2601,CA416251,503778/5,,
SG,2602,CA406704,507574/4,,
PH,2603,CA418855,1865413/1,31/05/2029,
PH,2604,CA393081,503761/5,,
AG,2605,CA294642,1866652/1,30/09/2028,
PH,2606,CA543414,1847047/1,31/10/2025,
PH,2607,CA554289,1864548/1,30/11/2028,
PH,2608,CA695460,1864571/1,31/08/2028,
AG,2609,CA682914,1865424/1,31/08/2028,
AG,2610,CA699500,186541/1,,
PH,2611,CA415750,507679/4,,
PH,2612,CA416049,507677/4,,
PH,2613,CA418430,5074673/4,,
PH,2614,CA518189,507476/2,,
PH,2615,CA518048,507595/3,,
AG,2616,CA922302,1834172/1,31/01/2025,
SG,2617,CA921507,1834168/1,28/02/2025,
SG,2618,CA922284,1834163/1,31/01/2025,
SG,2619,CA922085,1834165/1,31/01/2025,
PH,2620,CA961950,1834224/1,31/01/2025,
,2801,CA422437,5004030/5,,
,2802,CA419568,508579/5,,
,2803,CA415604,506705/4,,
,2804,CA412533,506719/4,,
,2805,CA62537,1862229/4,,
,2806,CA63436,504031/5,,
,2807,CA63568,504129/4,,
,2808,CA143056,503821/2,,
,2809,CA20479,SOLD,04/12/2015,
,2810,CA63733,503841/3,,
,2811,CA63723,504002/2,,
,2812,CA222473,1773785/4,31/10/2029,
,2813,CA222541,504131/5,,
,2814,CA222938,1899316/1,31/07/2030,
,2815,CA222625,507699/2,,
,2816,CA222781,507433/4,,
,2817,CA266847,507696/4,,
,2818,CA267123,508011/4,,
,2819,CA323778,503965/4,,
,2820,CA323787,507709/4,,
,2821,CA323802,508577/3,,
,4131,CA438674,504048/6,,
,4133,CA459523,1805238/2,,
,4137,CA480983,1794867/2,,
,4151,CA743716,507610/4,,
,4152,CA743724,SOLD,25/05/2023,
,4153,CA743739,1805805/2,31/10/2028,
,4154,CAA497069,SOLD,10/07/2023,
,4155,CA743767,1807104/2,30/09/2029,
,4156,CA743769,SOLD,30/01/2023,
,4157,CA743777,504133/5,,
,4161,CA749346,507600/5,,
,4162,CAA496062,SOLD,25/07/2023,
,4163,CA749363,5504972/6,,
,4164,CA749389,507589/5,,
,4165,CA749400,SCRAPPED,06/10/2020,
,4166,CA749414,506701/5,,
,4167,CA749,SOLD,22/08/2023,
,4168,CA749438,506699/0,,
,4169,CA7474488,SCRAPPED,15/03/2023,
,4170,CAA497072,SOLD,25/07/2023,
,4171,CA787026,SOLD,27/02/2023,
,4172,CA787016,1805233/2,31/07/2029,
,4173,CA787010,SOLD,22/08/2023,
,4174,CAA496064,SOLD,03/08/2023,
,4175,CA255127,503759/4,,
,4176,CA233436,505436/5,,
,4178,CA211737,74606177/2,,
,4179,CA212676,507536/5,,
,4180,CA201429,507964/4,,
PH,4181,CA187171,507737/5,,
,4182,CA174646,SCRAPPED,18/08/2023,
,4183,CA257422,SOLD,15/03/2023,
SG,4184,CA243392,507572/5,,
PH,4185,CA310895,504192/5,,
SG,4186,CA287799,506431/5,,
PH,4187,CA266756,507438/5,,
SG,4188,CA342317,503992/3,,
PA,4189,CA357073,506060/5,,
,4190,CA349719,SCRAPPED,26/10/2011,
PH,4191,CA341757,507707/5,,
SG,4192,CA256666,507612/3,,
SG,4193,CA227608,503993/3,,
SG,4194,CA826556,506697/5,,
SG,4195,CA826552,503971/3,,
SG,4196,CA826541,503930/3,,
SG,4197,CA826531,503854/3,,
,4198,CA826515,SCRAPPED,05/06/2015,
SG,4199,CA826505,507576/5,,
SG,4200,CA826499,507814/5,,
PH,4201,CA826495,507815/5,,
SG,4202,CA826488,507817/5,,
PH,4203,CA826476,507818/4,,
SG,4204,CA294761,503843/4,,
PH,4205,CA297395,74606189/2,,
SG,4206,CA300849,74606183/2,,
PH,4207,CA318597,74606186/2,,
SG,4208,CA322455,504184/5,,
,4209,CA326596,SCRAPPED,25/11/2010,
SG,4210,CA338957,74606184/2,,
PH,4211,CA285410,507754/3,,
SG,4212,CA334124,507527/5,,
PH,4213,CA834196,507470/5,,
SG,4214,CA246108,74606190/2,,
